Request_ID,Request_Start,Request_End,Total_Processing,Total_Waiting,SLA_Hours,Request_Type,Priority,Department_Requesting,Vendor_Type,Request_Amount,Complexity_Score,System_Load,Num_Stages,Total_TAT,Delay_Ratio,SLA_Breach_Hours,Delayed_Flag,Is_High_Value_Request,Is_High_Complexity,Bottleneck_Stage,Max_Stage_Delay
R00001,2025-06-29 15:04:12,2025-07-10 09:00:00,172.34,40.88,191.4,IT Purchase,Low,Operations,Internal,122958,3,0.9507143064099162,9,257.93,1.3475966562173458,66.53,1,0,0,Finance Approval,58.42
R00002,2025-01-08 11:30:00,2025-01-12 09:00:00,48.96,10.62,140.4,IT Purchase,High,Admin,Internal,49555,2,0.0343885211152183,4,93.5,0.665954415954416,0.0,0,0,0,Procurement Review,25.54
R00003,2025-07-07 10:52:48,2025-07-12 17:58:12,98.21,14.6,217.8,Equipment,Low,IT,Internal,13185,3,0.5426960831582485,4,127.09,0.5835169880624426,0.0,0,0,0,Finance Approval,51.92
R00004,2025-07-12 14:00:36,2025-07-18 09:00:00,89.7,17.95,145.2,Office Supplies,Low,Admin,Internal,109066,2,0.3829268747537898,4,138.99,0.9572314049586779,0.0,0,0,0,Procurement Review,40.89
R00005,2025-03-12 11:22:12,2025-03-17 15:14:24,86.16000000000001,22.06,102.6,Office Supplies,High,Admin,External,63623,1,0.289751452913768,7,123.87,1.207309941520468,21.27000000000001,1,0,0,Finance Approval,24.26
R00006,2025-04-23 12:32:24,2025-04-27 09:00:00,55.44,18.58,194.4,Equipment,High,Operations,Internal,247458,4,0.9766149558326528,4,92.46,0.47561728395061725,0.0,0,1,1,Finance Approval,25.36
R00007,2025-01-03 12:45:36,2025-01-10 09:00:00,98.73,17.16,102.6,Office Supplies,High,Finance,External,16708,1,0.5908929431882418,7,164.24,1.6007797270955166,61.640000000000015,1,0,0,Finance Approval,28.67
R00008,2025-06-15 12:10:12,2025-06-19 09:00:00,65.77,8.73,125.4,Office Supplies,Low,Operations,Internal,6539,1,0.6689882547142286,3,92.83,0.7402711323763955,0.0,0,0,0,Finance Approval,38.13
R00009,2025-07-06 13:22:48,2025-07-13 09:00:00,130.57,21.89,174.0,IT Purchase,Medium,IT,External,202163,3,0.3677158030594335,7,163.62,0.940344827586207,0.0,0,1,0,Finance Approval,42.98
R00010,2025-02-23 13:33:36,2025-03-02 09:00:00,110.05,21.66,283.8,Vendor Contract,Low,Finance,Internal,164817,5,0.696029796674973,4,163.44,0.5758985200845665,0.0,0,1,1,Finance Approval,58.830000000000005
R00011,2025-05-22 15:00:36,2025-06-04 09:00:00,210.14,39.53,217.8,Equipment,Low,Admin,External,71031,3,0.8900053418175663,12,305.99,1.4049127640036732,88.19,1,0,0,Finance Approval,37.03
R00012,2025-05-24 10:15:36,2025-06-02 15:45:00,122.5,31.06,118.8,Office Supplies,High,IT,Internal,227507,2,0.0978341606510014,10,221.49,1.8643939393939395,102.69000000000001,1,1,0,Finance Approval,34.31
R00013,2025-03-16 11:10:12,2025-03-22 09:00:00,104.65,17.93,264.0,Vendor Contract,Low,HR,Internal,39513,4,0.877472013527053,4,141.83,0.5372348484848485,0.0,0,0,1,Finance Approval,46.19
R00014,2025-07-06 10:30:36,2025-07-12 09:00:00,93.94,14.72,216.0,Equipment,Medium,Finance,External,120180,4,0.0999848871618633,4,142.49,0.6596759259259259,0.0,0,0,1,Finance Approval,45.7
R00015,2025-03-17 11:33:00,2025-03-21 09:00:00,53.9,5.41,114.0,Office Supplies,Medium,Operations,Internal,7801,1,0.6880300101750391,3,93.45,0.8197368421052632,0.0,0,0,0,Procurement Review,33.17
R00016,2025-02-05 13:46:12,2025-02-14 09:00:00,133.39,22.69,216.0,Vendor Contract,High,IT,Internal,92267,4,0.3762595855309157,7,211.23,0.9779166666666667,0.0,0,0,1,Procurement Review,47.620000000000005
R00017,2025-01-01 12:09:00,2025-01-07 09:00:00,83.48,20.55,125.4,Office Supplies,Low,Finance,External,53638,1,0.6275580800840634,6,140.85,1.1232057416267942,15.449999999999989,1,0,0,Finance Approval,44.29
R00018,2025-02-16 11:56:24,2025-02-26 09:00:00,156.54,30.4,118.8,Office Supplies,High,Operations,Internal,202412,2,0.9191765518355596,10,237.06,1.9954545454545456,118.26,1,1,0,Finance Approval,37.46
R00019,2025-03-16 12:20:24,2025-04-05 09:00:00,357.31,46.64,258.0,Vendor Contract,Medium,Operations,Internal,169513,5,0.2129641615089107,14,476.66,1.8475193798449614,218.66000000000003,1,1,1,Finance Approval,74.18
R00020,2025-05-07 13:44:24,2025-05-15 09:00:00,127.13,31.85,283.8,Vendor Contract,Low,Finance,External,132374,5,0.9240417591074332,6,187.26,0.6598308668076109,0.0,0,0,1,Finance Approval,54.43
R00021,2025-04-19 15:04:48,2025-05-08 09:00:00,302.11,67.73,237.6,Equipment,Low,Operations,Internal,205866,4,0.4795821017542502,13,449.92,1.8936026936026937,212.32000000000002,1,1,1,Finance Approval,65.28
R00022,2025-01-03 12:13:48,2025-01-08 09:00:00,76.95,13.73,232.2,Vendor Contract,High,Admin,External,248786,5,0.0518235368224269,4,116.77,0.502885443583118,0.0,0,1,1,Procurement Review,40.98
R00023,2025-02-09 10:41:24,2025-02-14 09:00:00,98.56,10.58,216.0,Equipment,Medium,HR,Internal,249320,4,0.7215965507512772,4,118.31,0.5477314814814815,0.0,0,1,1,Procurement Review,43.27
R00024,2025-07-13 14:39:00,2025-07-18 16:28:12,91.18,21.66,217.8,Equipment,Low,IT,Internal,68728,3,0.5435528611139886,4,121.82,0.5593204775022956,0.0,0,0,0,Finance Approval,51.05
R00025,2025-02-07 12:43:12,2025-02-11 09:00:00,51.31,11.47,102.6,Office Supplies,High,HR,External,47197,1,0.5364813514845947,4,92.28,0.8994152046783627,0.0,0,0,0,Procurement Review,23.08
R00026,2025-05-20 11:55:48,2025-05-25 09:00:00,75.24000000000001,12.09,156.0,IT Purchase,Medium,Finance,External,91474,2,0.9118524088429648,4,117.07,0.7504487179487179,0.0,0,0,0,Procurement Review,39.89
R00027,2025-02-26 12:24:36,2025-03-03 17:12:36,72.0,24.05,232.2,Vendor Contract,High,IT,Internal,125085,5,0.3321464126549389,6,124.8,0.537467700258398,0.0,0,0,1,Procurement Review,38.72
R00028,2025-06-05 10:32:24,2025-06-22 09:00:00,253.37,47.51,216.0,Vendor Contract,High,Operations,Internal,20097,4,0.2126807843412262,13,406.46,1.8817592592592591,190.45999999999998,1,0,1,Finance Approval,51.46
R00029,2025-02-24 15:32:24,2025-03-03 09:00:00,106.24,23.44,237.6,Equipment,Low,Operations,Internal,245446,4,0.8963358185211198,4,161.46,0.6795454545454546,0.0,0,1,1,Finance Approval,59.54
R00030,2025-03-22 13:47:24,2025-03-26 09:00:00,62.38,11.58,156.6,IT Purchase,High,Operations,Internal,162047,3,0.8684679758979128,4,91.21,0.5824393358876118,0.0,0,1,0,Finance Approval,22.59
R00031,2025-03-28 11:31:48,2025-04-02 09:00:00,83.16,12.34,132.0,Office Supplies,Medium,HR,Internal,210483,2,0.1065787301286743,4,117.47,0.8899242424242424,0.0,0,1,0,Finance Approval,36.43
R00032,2025-02-08 12:35:24,2025-02-12 17:24:00,72.6,9.43,258.0,Vendor Contract,Medium,IT,Internal,156834,5,0.6104046670079576,4,100.81,0.39073643410852715,0.0,0,1,1,Procurement Review,34.8
R00033,2025-01-25 13:39:36,2025-02-01 09:00:00,96.62,21.47,240.0,Vendor Contract,Medium,HR,Internal,56337,4,0.2464020332391068,6,163.34,0.6805833333333333,0.0,0,0,1,Procurement Review,36.55
R00034,2025-01-26 12:47:24,2025-02-01 09:00:00,98.67,14.2,191.4,IT Purchase,Low,Finance,Internal,144254,3,0.5679452305526295,4,140.21,0.7325496342737722,0.0,0,0,0,Finance Approval,55.56
R00035,2025-02-08 10:39:00,2025-02-22 09:00:00,253.5,34.78,145.2,Office Supplies,Low,Finance,Internal,210259,2,0.3152903378306103,11,334.35,2.3026859504132235,189.15000000000003,1,1,0,Finance Approval,55.73
R00036,2025-01-04 10:46:48,2025-01-10 09:00:00,91.19,16.9,217.8,Equipment,Low,Admin,Internal,81435,3,0.2316717013834434,6,142.22,0.6529843893480257,0.0,0,0,0,Finance Approval,41.09
